localidade,valor_2017_taxa_por_1000_mulheres_sus,valor_2024_taxa_por_1000_mulheres_sus,mann_kendal_z_taxa_por_1000_mulheres_sus,mann_kendal_p_taxa_por_1000_mulheres_sus,valor_2017_taxa_por_1000_mulheres_saude_suplementar,valor_2024_taxa_por_1000_mulheres_saude_suplementar,mann_kendal_z_taxa_por_1000_mulheres_saude_suplementar,mann_kendal_p_taxa_por_1000_mulheres_saude_suplementar
Brasil,9.6,6.4,-3.34,8e-04,7.1,5.1,-2.351,0.0187
Acre,19.7,14,-0.619,0.5362,1.9,1.4,-1.634,0.1024
Alagoas,13.5,7,-3.093,0.002,6.2,4,-0.499,0.618
Amapá,22.2,13.1,-2.846,0.0044,4.9,1.6,-2.598,0.0094
Amazonas,13.8,9.2,-2.846,0.0044,1.8,1.4,-0.748,0.4544
Bahia,12.4,8.3,-3.34,8e-04,5.8,2.5,-1.885,0.0595
Ceará,12.3,7.9,-3.093,0.002,6.4,3.8,-0.499,0.618
Distrito Federal,1.2,5.5,0,1,6.2,5.6,0.371,0.7105
Espírito Santo,8.1,6.4,-3.141,0.0017,11.2,5.3,-3.242,0.0012
Goiás,5.9,4.8,-2.387,0.017,6.7,5.4,0.126,0.9
Maranhão,11.6,10.2,-1.608,0.1078,2.8,3,1.361,0.1736
Mato Grosso,6,6.1,0.509,0.6105,6.2,6.8,1.745,0.0809
Mato Grosso do Sul,7.7,5.3,-2.846,0.0044,6.7,7.1,0.619,0.5362
Minas Gerais,9.8,5.4,-3.34,8e-04,8.1,6.2,-2.696,0.007
Paraná,6.7,3.9,-2.89,0.0039,7.1,5.8,-0.88,0.3791
Paraíba,14.2,7.7,-2.846,0.0044,6.3,5,0,1
Pará,11,8.1,-3.093,0.002,2.5,2,-0.507,0.6124
Pernambuco,12.2,8.3,-3.093,0.002,4.9,2.4,-1.885,0.0595
Piauí,11.8,7.8,-2.846,0.0044,6.1,3.3,-1.247,0.2125
Rio Grande do Norte,13.4,6.5,-2.992,0.0028,6.3,4.9,-0.249,0.8031
Rio Grande do Sul,6.1,4.7,-2.598,0.0094,2.7,3.1,2.244,0.0248
Rio de Janeiro,8.6,6.5,-2.992,0.0028,8.2,5.7,-2.244,0.0248
Rondônia,11.7,8.2,-2.387,0.017,6.7,3.7,-1.856,0.0635
Roraima,25.9,6.3,-3.093,0.002,2.1,1.4,-0.371,0.7105
Santa Catarina,7,5.5,-2.387,0.017,5.9,6.6,1.528,0.1265
Sergipe,15.1,8,-3.242,0.0012,5.9,3.1,-0.866,0.3865
São Paulo,7.9,5.2,-3.34,8e-04,11,7.7,-3.242,0.0012
Tocantins,14.6,7.2,-2.846,0.0044,2.6,4.1,0.628,0.5298
