ano,uf,Valor médio da taxa de abortos inseguros por mil mulheres em idade fértil no SUS,Limite inferior da taxa de abortos inseguros por mil mulheres em idade fértil no SUS,Limite superior da taxa de abortos inseguros por mil mulheres em idade fértil no SUS,Valor médio da taxa de abortos inseguros por mil mulheres em idade fértil na saúde suplementar,Limite inferior da taxa de abortos inseguros por mil mulheres em idade fértil na saúde suplementar,Limite superior da taxa de abortos inseguros por mil mulheres em idade fértil na saúde suplementar
2017,Acre,19.7,14.8,24.6,1.9,1.5,2.3
2017,Alagoas,13.5,10.2,16.9,6.2,5,7.4
2017,Amapá,22.2,16.6,27.7,4.9,3.9,5.8
2017,Amazonas,13.8,10.3,17.2,1.8,1.4,2.2
2017,Bahia,12.4,9.3,15.5,5.8,4.6,6.9
2017,Ceará,12.3,9.2,15.4,6.4,5.1,7.6
2017,Distrito Federal,1.2,0.9,1.5,6.2,5,7.5
2017,Espírito Santo,8.1,6.1,10.1,11.2,9,13.5
2017,Goiás,5.9,4.5,7.4,6.7,5.4,8
2017,Maranhão,11.6,8.7,14.5,2.8,2.3,3.4
2017,Mato Grosso,6,4.5,7.4,6.2,5,7.5
2017,Mato Grosso do Sul,7.7,5.8,9.6,6.7,5.4,8.1
2017,Minas Gerais,9.8,7.4,12.3,8.1,6.5,9.8
2017,Paraná,6.7,5,8.4,7.1,5.7,8.5
2017,Paraíba,14.2,10.6,17.7,6.3,5,7.6
2017,Pará,11,8.2,13.7,2.5,2,3
2017,Pernambuco,12.2,9.1,15.2,4.9,3.9,5.9
2017,Piauí,11.8,8.8,14.7,6.1,4.9,7.3
2017,Rio Grande do Norte,13.4,10,16.7,6.3,5.1,7.6
2017,Rio Grande do Sul,6.1,4.6,7.6,2.7,2.2,3.3
2017,Rio de Janeiro,8.6,6.4,10.7,8.2,6.5,9.8
2017,Rondônia,11.7,8.7,14.6,6.7,5.3,8
2017,Roraima,25.9,19.4,32.3,2.1,1.7,2.6
2017,Santa Catarina,7,5.2,8.7,5.9,4.7,7.1
2017,Sergipe,15.1,11.3,18.9,5.9,4.7,7.1
2017,São Paulo,7.9,5.9,9.9,11,8.8,13.2
2017,Tocantins,14.6,11,18.3,2.6,2.1,3.1
2024,Acre,14,10.5,17.5,1.4,1.1,1.7
2024,Alagoas,7,5.2,8.7,4,3.2,4.8
2024,Amapá,13.1,9.8,16.4,1.6,1.3,1.9
2024,Amazonas,9.2,6.9,11.5,1.4,1.1,1.7
2024,Bahia,8.3,6.2,10.3,2.5,2,3
2024,Ceará,7.9,5.9,9.9,3.8,3,4.6
2024,Distrito Federal,5.5,4.2,6.9,5.6,4.5,6.8
2024,Espírito Santo,6.4,4.8,8,5.3,4.3,6.4
2024,Goiás,4.8,3.6,6,5.4,4.4,6.5
2024,Maranhão,10.2,7.6,12.7,3,2.4,3.5
2024,Mato Grosso,6.1,4.5,7.6,6.8,5.5,8.2
2024,Mato Grosso do Sul,5.3,4,6.6,7.1,5.7,8.6
2024,Minas Gerais,6.1,4.6,7.6,6.2,5,7.4
2024,Paraná,3.9,2.9,4.9,5.8,4.7,7
2024,Paraíba,7.7,5.8,9.6,5,4,6
2024,Pará,8.1,6.1,10.2,2,1.6,2.4
2024,Pernambuco,8.3,6.3,10.4,2.4,1.9,2.9
2024,Piauí,7.8,5.8,9.7,3.3,2.7,4
2024,Rio Grande do Norte,6.5,4.9,8.1,4.9,3.9,5.8
2024,Rio Grande do Sul,4.7,3.5,5.8,3.1,2.4,3.7
2024,Rio de Janeiro,6.5,4.8,8.1,5.7,4.6,6.8
2024,Rondônia,8.2,6.1,10.2,3.7,2.9,4.4
2024,Roraima,6.3,4.7,7.9,1.4,1.1,1.7
2024,Santa Catarina,5.5,4.1,6.8,6.6,5.2,7.9
2024,Sergipe,8,6,10,3.1,2.5,3.7
2024,São Paulo,5.2,3.9,6.5,7.7,6.2,9.2
2024,Tocantins,7.2,5.4,9,4.1,3.3,5
2017,Brasil,9.6,7.2,11.9,7.1,5.7,8.5
2024,Brasil,6.5,4.9,8.1,5.1,4.1,6.1
